Bairro,Endereco,Quartos,Tipo_Imovel,Preco,Metodo_Venda,Corretor,Data_Venda,Distancia_CBD,CEP,Banheiros,Vagas_Garagem,Area_Terreno,Area_Construida,Ano_Construcao,Area_Administrativa,Latitude,Longitude,Regiao,Contagem_Imoveis,Tipo_Imovel_Numerico,Ano_Venda,Mes_Venda,Area_Construida_Imputada,Area_Terreno_Imputada,Preco_por_m2,Quartos_por_m2,Idade_Imovel,Regiao_Numerica,Preco_Imputado,Preco_Esperado,Media_Regional_Preco_m2,Desvio_Padrao_Regional_Preco_m2,Limite_Inferior_Preco,Limite_Superior_Preco,Subvalorizado,Supervalorizado,Proporcao_Quartos_Banheiros,Categoria_Idade,Categoria_Distancia
Avondale Heights,24 Alexander St,3,h,1010000.0,SP,Moonee,2017-10-07,9.5,3034.0,1.0,1.0,711.0,118.10666666666668,1977.0,Moonee Valley City Council,-37.76673,144.86646,Western Metropolitan,4502.0,0,2017,10,False,False,8551.591781440504,0.025400767667645,48.0,6,False,993131.830984443,6857.409535210428,12417.253285735336,-5559.8437505249085,19274.662820945763,False,False,2.9702970297029703,20-50 anos,Próximo
Pakenham,31 Azalea Av,4,h,510000.0,SP,Ray,2017-06-03,47.3,3810.0,2.0,2.0,796.0,308.40866666666665,1986.0,Cardinia Shire Council,-38.00224,145.33073,Eastern Victoria,17384.0,0,2017,6,False,False,1653.6500271285072,0.0129698041343412,39.0,1,False,970781.2049884192,5042.13829670367,1751.8148413764775,3290.3234553271923,6793.953138080147,True,False,1.9900497512437811,20-50 anos,Afastado
Moonee Ponds,55 Darling St,2,h,740838.641025641,SP,Nelson,2016-06-27,6.9,3039.0,1.0,0.0,278.0,101.532,1977.0,Moonee Valley City Council,-37.7673,144.9108,Western Metropolitan,6232.0,0,2016,6,False,False,7296.602460560621,0.0196982232202655,48.0,6,True,879947.3257290471,6857.409535210428,12417.253285735336,-5559.8437505249085,19274.662820945763,False,False,1.98019801980198,20-50 anos,Próximo
Hawthorn East,5/75 Harold St,2,u,460000.0,VB,Fletchers,2016-12-10,7.5,3123.0,1.0,1.0,0.0,55.0,1967.0,Boroondara City Council,-37.8278,145.0565,Southern Metropolitan,6482.0,1,2016,12,False,False,8363.636363636364,0.0363636363636363,58.0,5,False,587394.6215974701,15775.346485474063,572473.0403559475,-556697.6938704734,588248.3868414215,False,False,1.98019801980198,50-100 anos,Próximo
West Melbourne,88 Roden St,4,h,2371000.0,S,Alexkarbon,2017-10-14,3.1,3003.0,2.0,1.0,214.0,169.0,1890.0,Melbourne City Council,-37.80712,144.94832,Northern Metropolitan,2230.0,0,2017,10,False,False,14029.585798816568,0.0236686390532544,135.0,2,False,1728527.0773993854,8721.041473781299,26130.89449522705,-17409.853021445757,34851.93596900835,False,False,1.9900497512437811,Centenário,CBD
Niddrie,11 George St,4,h,1340000.0,S,Nelson,2017-09-23,10.4,3042.0,2.0,0.0,572.0,251.0,1960.0,Moonee Valley City Council,-37.74197,144.88513,Western Metropolitan,2291.0,0,2017,9,False,False,5338.645418326693,0.0159362549800796,65.0,6,False,1368884.9717226012,6857.409535210428,12417.253285735336,-5559.8437505249085,19274.662820945763,False,False,1.9900497512437811,50-100 anos,Médio
Kingsbury,5/8 Oconnell St,1,u,350000.0,S,Barry,2017-10-28,12.1,3083.0,1.0,1.0,0.0,37.639,1970.0,Darebin City Council,-37.7414,144.9838,Northern Metropolitan,1414.0,1,2017,10,False,False,9298.865538404314,0.0265681872525837,55.0,2,False,245221.5020338532,8721.041473781299,26130.89449522705,-17409.853021445757,34851.93596900835,False,False,0.99009900990099,50-100 anos,Médio
Brunswick,4/126 Albion St,2,u,396884.3583333333,SP,Jellis,2017-05-13,5.2,3056.0,1.0,1.0,0.0,53.0,1970.0,Moreland City Council,-37.7617,144.9696,Northern Metropolitan,11918.0,1,2017,5,False,False,7488.3841194968545,0.0377358490566037,55.0,2,True,508656.9041670672,8721.041473781299,26130.89449522705,-17409.853021445757,34851.93596900835,False,False,1.98019801980198,50-100 anos,Próximo
Thornbury,3/53 Collins St,2,h,970000.0,S,Jellis,2018-03-03,7.0,3071.0,1.0,1.0,200.0,95.318,1970.0,Darebin City Council,-37.7414,144.9838,Northern Metropolitan,8870.0,0,2018,3,False,False,10176.46194842527,0.020982395769949,55.0,2,False,859278.53465307,8721.041473781299,26130.89449522705,-17409.853021445757,34851.93596900835,False,False,1.98019801980198,50-100 anos,Próximo
St Kilda,104/13 Wellington St,2,u,575000.0,S,Buxton,2016-06-18,6.1,3182.0,2.0,1.0,0.0,78.0,2013.0,Port Phillip City Council,-37.8562,144.9844,Southern Metropolitan,13240.0,1,2016,6,False,False,7371.794871794872,0.0256410256410256,12.0,5,False,793648.410187761,15775.346485474063,572473.0403559475,-556697.6938704734,588248.3868414215,False,False,0.9950248756218908,10-20 anos,Próximo
Elwood,2/4 Southey Ct,2,u,640000.0,S,Gary,2017-02-25,7.7,3184.0,1.0,0.0,0.0,80.0,1940.0,Port Phillip City Council,-37.8757,144.987,Southern Metropolitan,8989.0,1,2017,2,False,False,8000.0,0.025,85.0,5,False,629186.2990389906,15775.346485474063,572473.0403559475,-556697.6938704734,588248.3868414215,False,False,1.98019801980198,50-100 anos,Próximo
Hampton,16 Conifer St,3,h,1520000.0,VB,Hodges,2017-09-16,13.8,3188.0,1.0,3.0,627.0,150.3093553113553,1960.0,Bayside City Council,-37.94515,145.01886,Southern Metropolitan,5454.0,0,2017,9,False,False,10112.47767546755,0.0199588375173701,65.0,5,False,1254151.5966834165,15775.346485474063,572473.0403559475,-556697.6938704734,588248.3868414215,False,False,2.9702970297029703,50-100 anos,Médio
Bundoora,5/21 Princeton Tce,1,u,278267.5,W,Barry,2017-11-11,12.1,3083.0,1.0,1.0,0.0,37.639,1970.0,Banyule City Council,-37.7414,144.9838,Northern Metropolitan,10175.0,1,2017,11,False,False,7393.06304630835,0.0265681872525837,55.0,2,True,245221.5020338532,8721.041473781299,26130.89449522705,-17409.853021445757,34851.93596900835,False,False,0.99009900990099,50-100 anos,Médio
Tarneit,1 Northbridge Dr,5,h,610000.0,SP,Sweeney,2018-03-10,18.4,3029.0,2.0,2.0,550.0,214.0,2010.0,Wyndham City Council,-37.83753,144.66697,Western Metropolitan,10160.0,0,2018,3,False,False,2850.467289719626,0.0233644859813084,15.0,6,False,697185.3724030372,6857.409535210428,12417.253285735336,-5559.8437505249085,19274.662820945763,False,False,2.4875621890547266,10-20 anos,Distante
Flemington,1/92 Farnham St,3,h,552279.5,S,Nelson,2016-08-28,4.4,3031.0,1.0,1.0,0.0,54.74,1970.0,Melbourne City Council,-37.7826,144.9314,Northern Metropolitan,3593.0,0,2016,8,False,False,10089.139568871024,0.0548045305078553,55.0,2,True,876645.6483066555,8721.041473781299,26130.89449522705,-17409.853021445757,34851.93596900835,False,False,2.9702970297029703,50-100 anos,CBD
Watsonia,45 Grace St,3,h,808000.0,S,Darren,2016-08-13,14.9,3087.0,2.0,2.0,265.0,260.0,1970.0,Banyule City Council,-37.7101,145.0785,Northern Metropolitan,2329.0,0,2016,8,False,False,3107.692307692308,0.0115384615384615,55.0,2,False,951378.34777059,8721.041473781299,26130.89449522705,-17409.853021445757,34851.93596900835,False,False,1.492537313432836,50-100 anos,Médio
Essendon,2 McHale Ct,2,h,1065000.0,VB,Nelson,2016-09-17,8.0,3040.0,1.0,2.0,477.0,143.0,1960.0,Moonee Valley City Council,-37.7503,144.911,Western Metropolitan,9264.0,0,2016,9,False,False,7447.552447552447,0.0139860139860139,65.0,6,False,1091348.1290018477,6857.409535210428,12417.253285735336,-5559.8437505249085,19274.662820945763,False,False,1.98019801980198,50-100 anos,Próximo
Heidelberg Heights,11 Sackville St,4,h,1000500.0,S,Miles,2016-07-30,10.5,3081.0,2.0,1.0,592.0,191.0,1950.0,Banyule City Council,-37.7478,145.0477,Eastern Metropolitan,2947.0,0,2016,7,False,False,5238.219895287958,0.0209424083769633,75.0,0,False,1345464.331861833,7834.352816915639,21031.370340574817,-13197.01752365918,28865.72315749045,False,False,1.9900497512437811,50-100 anos,Médio
Hawthorn,8 Kinkora Rd,4,h,2010000.0,PI,Marshall,2017-06-24,5.3,3122.0,3.0,3.0,451.0,376.82,1970.0,Boroondara City Council,-37.81633,145.02833,Southern Metropolitan,11308.0,0,2017,6,False,False,5334.111777506502,0.0106151478159333,55.0,5,False,2678028.00584934,15775.346485474063,572473.0403559475,-556697.6938704734,588248.3868414215,False,False,1.32890365448505,50-100 anos,Próximo
Heathmont,75 Campbell St,3,h,957751.5202265978,SS,Barry,2017-12-09,21.3,3135.0,1.0,2.0,696.0,134.1978,1970.0,Maroondah City Council,-37.82622,145.24428,Eastern Metropolitan,3794.0,0,2017,12,False,False,7136.864540451466,0.0223550609622512,55.0,0,True,871615.9092315198,7834.352816915639,21031.370340574817,-13197.01752365918,28865.72315749045,False,False,2.9702970297029703,50-100 anos,Afastado
Armadale,6/53 Wattletree Rd,1,u,401000.0,S,hockingstuart,2018-03-03,6.3,3143.0,1.0,1.0,0.0,50.84933333333333,1960.0,Stonnington City Council,-37.85852,145.0387,Southern Metropolitan,4836.0,1,2018,3,False,False,7886.042425990508,0.0196659412119464,65.0,5,False,435698.8716377029,15775.346485474063,572473.0403559475,-556697.6938704734,588248.3868414215,False,False,0.99009900990099,50-100 anos,Próximo
Rosanna,11 Thomson Dr,4,h,1051000.0,SP,Nelson,2016-11-12,11.4,3084.0,2.0,2.0,651.0,214.45333333333332,1970.0,Banyule City Council,-37.7338,145.0703,Eastern Metropolitan,3540.0,0,2016,11,False,False,4900.833126088038,0.0186520765978612,55.0,0,False,1444949.9066334746,7834.352816915639,21031.370340574817,-13197.01752365918,28865.72315749045,False,False,1.9900497512437811,50-100 anos,Médio
Clifton Hill,4/165 Noone St,2,u,580000.0,S,Domain,2018-03-03,3.6,3068.0,1.0,1.0,0.0,62.33333333333333,1970.0,Yarra City Council,-37.7414,144.9838,Northern Metropolitan,2954.0,1,2018,3,False,False,9304.8128342246,0.0320855614973262,55.0,2,False,612229.0571439312,8721.041473781299,26130.89449522705,-17409.853021445757,34851.93596900835,False,False,1.98019801980198,50-100 anos,CBD
Kingsbury,9 Keats Av,4,h,590500.0,S,Ray,2016-08-28,12.4,3083.0,2.0,2.0,535.0,370.3925079365079,1970.0,Darebin City Council,-37.7414,144.9838,Northern Metropolitan,1414.0,0,2016,8,False,False,1594.2547091185293,0.0107993545071534,55.0,2,False,1162468.681513122,8721.041473781299,26130.89449522705,-17409.853021445757,34851.93596900835,False,False,1.9900497512437811,50-100 anos,Médio
Sunshine,47 Anderson Rd,2,h,551000.0,S,GL,2017-03-18,12.6,3020.0,1.0,2.0,613.0,86.3,1977.0,Brimbank City Council,-37.7918,144.8268,Western Metropolitan,3755.0,0,2017,3,False,False,6384.704519119351,0.0231749710312862,48.0,6,False,704385.9106905676,6857.409535210428,12417.253285735336,-5559.8437505249085,19274.662820945763,False,False,1.98019801980198,20-50 anos,Médio
Hawthorn,10/28 Wattle Rd,2,u,430000.0,S,Nelson,2016-11-07,4.6,3122.0,1.0,1.0,1997.0,82.32923737373739,1960.0,Boroondara City Council,-37.8248,145.0282,Southern Metropolitan,11308.0,1,2016,11,False,False,5222.9318977897865,0.0242927065013478,65.0,5,False,710667.6218552383,15775.346485474063,572473.0403559475,-556697.6938704734,588248.3868414215,False,False,1.98019801980198,50-100 anos,CBD
Bentleigh East,3 Namron St,3,h,914266.5462793688,PI,Buxton,2017-09-03,13.8,3165.0,1.0,2.0,589.0,126.0,1970.0,Glen Eira City Council,-37.9341,145.067,Southern Metropolitan,10969.0,0,2017,9,False,False,7256.08370062991,0.0238095238095238,55.0,5,True,1048059.3740563792,15775.346485474063,572473.0403559475,-556697.6938704734,588248.3868414215,False,False,2.9702970297029703,50-100 anos,Médio
Reservoir,1/3 Boldrewood Pde,3,h,500000.0,PI,Love,2016-10-08,11.2,3073.0,1.0,1.0,320.0,116.98619047619046,1970.0,Darebin City Council,-37.7248,145.023,Northern Metropolitan,21650.0,0,2016,10,False,False,4274.008735259758,0.0256440524115585,55.0,2,False,719011.5764645734,8721.041473781299,26130.89449522705,-17409.853021445757,34851.93596900835,False,False,2.9702970297029703,50-100 anos,Médio
Parkdale,33 Davey St,2,h,1206000.0,S,Hodges,2017-11-25,21.5,3195.0,1.0,1.0,632.5,87.00380000000001,1975.0,Kingston City Council,-37.9962,145.0878,South-Eastern Metropolitan,5087.0,0,2017,11,False,False,13861.463522282933,0.0229875016953282,50.0,4,False,788287.2327802555,6697.309990528885,9145.331295210466,-2448.0213046815816,15842.641285739352,False,False,1.98019801980198,20-50 anos,Afastado
Malvern,34 Johnstone St,5,h,3400000.0,SP,Jellis,2016-06-18,7.4,3144.0,3.0,4.0,807.0,339.0,1920.0,Stonnington City Council,-37.8684,145.035,Southern Metropolitan,4675.0,0,2016,6,False,False,10029.498525073746,0.0147492625368731,105.0,5,False,3063439.16056128,15775.346485474063,572473.0403559475,-556697.6938704734,588248.3868414215,False,False,1.6611295681063123,Centenário,Próximo
South Yarra,8 Cliff St,2,h,1100000.0,VB,Fletchers,2016-09-24,3.3,3141.0,1.0,0.0,176.0,81.0,1930.0,Melbourne City Council,-37.8436,144.9925,Southern Metropolitan,14887.0,0,2016,9,False,False,13580.246913580248,0.0246913580246913,95.0,5,False,1112774.880302926,15775.346485474063,572473.0403559475,-556697.6938704734,588248.3868414215,False,False,1.98019801980198,50-100 anos,CBD
Sunshine,7 Union St,4,h,590000.0,S,Barry,2016-06-18,12.6,3020.0,1.0,1.0,490.0,155.72,1977.0,Brimbank City Council,-37.7893,144.8437,Western Metropolitan,3755.0,0,2016,6,False,False,3788.851785255587,0.0256871307474955,48.0,6,False,804143.32541293,6857.409535210428,12417.253285735336,-5559.8437505249085,19274.662820945763,False,False,3.96039603960396,20-50 anos,Médio
Bentleigh,41 Wavell St,4,h,943333.9484126983,S,Buxton,2016-04-16,13.0,3204.0,1.0,2.0,682.0,128.07666666666665,1950.0,Glen Eira City Council,-37.9148,145.0467,Southern Metropolitan,6795.0,0,2016,4,False,False,7365.384913302177,0.0312312937563438,75.0,5,True,1330265.2567340736,15775.346485474063,572473.0403559475,-556697.6938704734,588248.3868414215,False,False,3.96039603960396,50-100 anos,Médio
Bentleigh East,15 Millis Av,4,h,1210000.0,VB,Buxton,2018-02-10,13.8,3165.0,2.0,2.0,644.0,214.364,1960.0,Glen Eira City Council,-37.92799,145.06435,Southern Metropolitan,10969.0,0,2018,2,False,False,5644.604504487694,0.0186598496016122,65.0,5,False,1659402.3457532695,15775.346485474063,572473.0403559475,-556697.6938704734,588248.3868414215,False,False,1.9900497512437811,50-100 anos,Médio
Albert Park,44 Greig St,2,h,1750000.0,S,Marshall,2016-11-27,3.3,3206.0,1.0,1.0,162.0,125.1514,1960.0,Port Phillip City Council,-37.8416,144.9488,Southern Metropolitan,3280.0,0,2016,11,False,False,13983.063713230536,0.015980644243692,65.0,5,False,1275495.245496557,15775.346485474063,572473.0403559475,-556697.6938704734,588248.3868414215,False,False,1.98019801980198,50-100 anos,CBD
Mernda,36 Jackaroo St,3,h,540000.0,SP,HAR,2018-03-03,25.9,3754.0,2.0,1.0,336.0,121.18,1970.0,Whittlesea City Council,-37.59245,145.08937,Northern Metropolitan,5812.0,0,2018,3,False,False,4456.180887935303,0.0247565604885294,55.0,2,False,569136.2143312998,8721.041473781299,26130.89449522705,-17409.853021445757,34851.93596900835,False,False,1.492537313432836,50-100 anos,Afastado
Sydenham,28 Albertine Cr,4,h,1748229.0,W,Prof.,2017-12-09,18.0,3037.0,2.0,2.0,557.0,280.78186857142856,1977.0,Brimbank City Council,-37.71039,144.77957,Western Metropolitan,3640.0,0,2017,12,False,False,6226.2887874302505,0.0142459341137351,48.0,6,True,804590.5695237959,6857.409535210428,12417.253285735336,-5559.8437505249085,19274.662820945763,False,False,1.9900497512437811,20-50 anos,Distante
Ascot Vale,30 Mirams St,4,h,1300000.0,PI,Jellis,2016-11-27,5.9,3032.0,1.0,4.0,664.0,141.71333333333334,1977.0,Moonee Valley City Council,-37.7765,144.9132,Western Metropolitan,6567.0,0,2016,11,False,False,9173.448746295338,0.0282259961424471,48.0,6,False,1378256.5654147328,6857.409535210428,12417.253285735336,-5559.8437505249085,19274.662820945763,False,False,3.96039603960396,20-50 anos,Próximo
Albion,3 Barclay St,2,h,460000.0,S,Barry,2016-07-30,13.9,3020.0,1.0,2.0,463.0,85.0,1977.0,Brimbank City Council,-37.7813,144.8234,Western Metropolitan,2185.0,0,2016,7,False,False,5411.764705882353,0.0235294117647058,48.0,6,False,626973.087423545,6857.409535210428,12417.253285735336,-5559.8437505249085,19274.662820945763,False,False,1.98019801980198,20-50 anos,Médio
Port Melbourne,410 Graham St,3,h,1325000.0,PI,Marshall,2017-06-03,3.5,3207.0,2.0,2.0,133.0,163.54,1960.0,Melbourne City Council,-37.83522,144.93471,Southern Metropolitan,8648.0,0,2017,6,False,False,8101.993396111044,0.0183441359911948,65.0,5,False,1699437.6002435244,15775.346485474063,572473.0403559475,-556697.6938704734,588248.3868414215,False,False,1.492537313432836,50-100 anos,CBD
Taylors Hill,29 Nepean Wy,4,h,700000.0,VB,YPA,2018-03-10,18.0,3037.0,2.0,2.0,630.0,239.0,2005.0,Melton City Council,-37.71782,144.75353,Western Metropolitan,4242.0,0,2018,3,False,False,2928.8702928870293,0.0167364016736401,20.0,6,False,773549.0250979321,6857.409535210428,12417.253285735336,-5559.8437505249085,19274.662820945763,False,False,1.9900497512437811,10-20 anos,Distante
Ashburton,30 Glen Rd,4,h,1376280.2628787877,S,Fletchers,2017-02-25,11.0,3147.0,2.0,2.0,644.0,191.9115238095238,1960.0,Boroondara City Council,-37.85852,145.0387,Southern Metropolitan,3052.0,0,2017,2,False,False,7171.431061350827,0.0208429380403965,65.0,5,True,1777709.959601149,15775.346485474063,572473.0403559475,-556697.6938704734,588248.3868414215,False,False,1.9900497512437811,50-100 anos,Médio
Coburg North,9 Ryland St,3,h,841000.0,S,Peter,2017-09-16,6.7,3058.0,1.0,3.0,533.0,150.0,1960.0,Darebin City Council,-37.72631,144.96274,Northern Metropolitan,3445.0,0,2017,9,False,False,5606.666666666667,0.02,65.0,2,False,1146355.6317930345,8721.041473781299,26130.89449522705,-17409.853021445757,34851.93596900835,False,False,2.9702970297029703,50-100 anos,Próximo
Eltham,6 Orbel Ct,3,h,805000.0,S,Barry,2017-07-01,18.0,3095.0,2.0,0.0,848.0,127.0,1979.0,Banyule City Council,-37.70913,145.1647,Eastern Metropolitan,6990.0,0,2017,7,False,False,6338.582677165355,0.0236220472440944,46.0,0,False,909077.1921021368,7834.352816915639,21031.370340574817,-13197.01752365918,28865.72315749045,False,False,1.492537313432836,20-50 anos,Distante
Brunswick East,63 Albert St,4,h,1500000.0,S,Jellis,2018-02-24,4.0,3057.0,2.0,2.0,153.0,175.0,1900.0,Moreland City Council,-37.76998,144.97358,Northern Metropolitan,5533.0,0,2018,2,False,False,8571.42857142857,0.0228571428571428,125.0,2,False,1592607.4756784416,8721.041473781299,26130.89449522705,-17409.853021445757,34851.93596900835,False,False,1.9900497512437811,Centenário,CBD
Roxburgh Park,6 Spence Av,4,h,590000.0,S,Raine,2017-11-18,20.6,3064.0,2.0,2.0,535.0,181.97904761904763,1970.0,Hume City Council,-37.7414,144.9838,Northern Metropolitan,5833.0,0,2017,11,False,False,3242.131485571337,0.0219805524445514,55.0,2,False,737470.3599325207,8721.041473781299,26130.89449522705,-17409.853021445757,34851.93596900835,False,False,1.9900497512437811,50-100 anos,Afastado
Moorabbin,7 Barbara St,3,h,1090000.0,SP,Woodards,2016-12-03,14.6,3189.0,2.0,2.0,784.0,160.0,1960.0,Kingston City Council,-37.9368,145.0568,Southern Metropolitan,2555.0,0,2016,12,False,False,6812.5,0.01875,65.0,5,False,1463705.3703718523,15775.346485474063,572473.0403559475,-556697.6938704734,588248.3868414215,False,False,1.492537313432836,50-100 anos,Médio
